,lipid,n,method,ML,R2
232,PA(34:1),closest,NA,xgboost,0.4834
233,PA(34:1),closest,NA,lr,0.4068
234,PA(34:1),closest,NA,ridge,0.4068
235,PA(34:1),closest,NA,knn,0.3998
236,PA(34:1),closest,NA,lasso,-0.0001
237,PA(34:1),closest,NA,dummy,-0.0001
238,PC 33:1,closest,NA,catboost,0.0413
239,PC 33:1,closest,NA,xgboost,0.0311
240,PC 33:1,closest,NA,lr,0.0293
241,PC 33:1,closest,NA,ridge,0.0293
242,PC 33:1,closest,NA,lasso,-0.0001
243,PC 33:1,closest,NA,dummy,-0.0001
244,PC 33:1,closest,NA,knn,-0.139
245,PS 38:4,closest,NA,catboost,0.278
246,PS 38:4,closest,NA,xgboost,0.2325
247,PS 38:4,closest,NA,lr,0.1967
248,PS 38:4,closest,NA,ridge,0.1967
249,PS 38:4,closest,NA,knn,0.1377
250,PS 38:4,closest,NA,lasso,-0.0002
251,PS 38:4,closest,NA,dummy,-0.0002
252,LPC 16:0,closest,NA,catboost,0.1308
253,LPC 16:0,closest,NA,xgboost,0.0954
254,LPC 16:0,closest,NA,lr,0.0726
255,LPC 16:0,closest,NA,ridge,0.0726
256,LPC 16:0,closest,NA,lasso,-0.0001
257,LPC 16:0,closest,NA,dummy,-0.0001
258,LPC 16:0,closest,NA,knn,-0.014
259,LBPA(34:1) ,closest,NA,catboost,0.439
260,LBPA(34:1) ,closest,NA,xgboost,0.3785
261,LBPA(34:1) ,closest,NA,knn,0.344
262,LBPA(34:1) ,closest,NA,lr,0.3395
263,LBPA(34:1) ,closest,NA,ridge,0.3395
264,LBPA(34:1) ,closest,NA,lasso,-0.0001
265,LBPA(34:1) ,closest,NA,dummy,-0.0001
266,PA 40:6,closest,NA,catboost,0.164
267,PA 40:6,closest,NA,lr,0.133
268,PA 40:6,closest,NA,ridge,0.133
269,PA 40:6,closest,NA,xgboost,0.1317
270,PA 40:6,closest,NA,knn,0.0236
271,PA 40:6,closest,NA,lasso,-0.0001
272,PA 40:6,closest,NA,dummy,-0.0001
273,PE O-39:7,closest,NA,catboost,0.1054
274,PE O-39:7,closest,NA,xgboost,0.0785
275,PE O-39:7,closest,NA,lr,0.0592
276,PE O-39:7,closest,NA,ridge,0.0592
277,PE O-39:7,closest,NA,lasso,-0.0001
278,PE O-39:7,closest,NA,dummy,-0.0001
279,PE O-39:7,closest,NA,knn,-0.0474
280,PE O-40:6,closest,NA,catboost,0.2785
281,PE O-40:6,closest,NA,xgboost,0.2461
282,PE O-40:6,closest,NA,lr,0.1881
283,PE O-40:6,closest,NA,ridge,0.1881
284,PE O-40:6,closest,NA,knn,0.149
285,PE O-40:6,closest,NA,lasso,-0.0001
286,PE O-40:6,closest,NA,dummy,-0.0001
287,HexCer(t40:0) ,closest,NA,catboost,0.3613
288,HexCer(t40:0) ,closest,NA,xgboost,0.3212
289,HexCer(t40:0) ,closest,NA,lr,0.2487
290,HexCer(t40:0) ,closest,NA,ridge,0.2487
291,HexCer(t40:0) ,closest,NA,knn,0.2134
292,HexCer(t40:0) ,closest,NA,lasso,-0.0002
293,HexCer(t40:0) ,closest,NA,dummy,-0.0002
294,PI-Cer(t32:2) ,closest,NA,catboost,0.0877
295,PI-Cer(t32:2) ,closest,NA,lr,0.0575
296,PI-Cer(t32:2) ,closest,NA,ridge,0.0575
297,PI-Cer(t32:2) ,closest,NA,xgboost,0.0506
298,PI-Cer(t32:2) ,closest,NA,lasso,-0.0
299,PI-Cer(t32:2) ,closest,NA,dummy,-0.0
300,PI-Cer(t32:2) ,closest,NA,knn,-0.0743
301,PG(40:1) ,closest,NA,catboost,0.4012
302,PG(40:1) ,closest,NA,xgboost,0.3496
303,PG(40:1) ,closest,NA,lr,0.3036
304,PG(40:1) ,closest,NA,ridge,0.3036
305,PG(40:1) ,closest,NA,knn,0.2643
306,PG(40:1) ,closest,NA,lasso,-0.0001
307,PG(40:1) ,closest,NA,dummy,-0.0001
308,PI-Cer(t30:1) ,closest,NA,catboost,0.2886
309,PI-Cer(t30:1) ,closest,NA,xgboost,0.2439
310,PI-Cer(t30:1) ,closest,NA,lr,0.199
311,PI-Cer(t30:1) ,closest,NA,ridge,0.199
312,PI-Cer(t30:1) ,closest,NA,knn,0.1538
313,PI-Cer(t30:1) ,closest,NA,lasso,-0.0001
314,PI-Cer(t30:1) ,closest,NA,dummy,-0.0001
315,PC 35:1,closest,NA,catboost,0.1094
316,PC 35:1,closest,NA,xgboost,0.0832
317,PC 35:1,closest,NA,lr,0.0732
318,PC 35:1,closest,NA,ridge,0.0732
